a	art.一(个) 每
softly	adv.柔软地 温柔地 柔和地 静静地
soil	n.泥土 土壤 土地 污物 粪便 vt.弄脏 弄污 vi.变脏 vt.用青草饲料喂养
solar	adj.太阳的 太阳能的 日光的
soldier	n.(陆军)士兵 军人 偷懒者 [动]兵蚁 vi.当兵
sole	n.脚底 鞋底 袜底 sole或soles鳎鱼 adj.唯一的 单独的 独占的 vt.给(鞋)换底
solely	adv.单独地 独自地 唯一地
solemn	adj.庄严的 严肃的 隆重的
solid	adj.固体的 结实的 实心的 可靠的 n.固体 立方体 adv.一致地
soluble	adj.可溶的 可以解决的
solution	n.解决 解答 解决办法 溶解 溶液
solve	vt.解答 解释 解决
some	adj.一些 若干 adv.大约 在某种程度上 pron.一些(人 物) 若干
somebody	pron.某人 有人 n.重要人物
somehow	adv.由于某种原因 不知怎么地 以某种方式
someone	pron.某人 有人
something	pron.某事 某物 有价值或重要的人或物 adv.稍微 有点 非常
sometime	adv.在某一时候 从前 改天 来日 adj.以前的 某一时间
sometimes	adv.不时 有时 间或
somewhat	pron.一点儿 一些 某物 adv.有点 多少 几分
somewhere	ad.在某处 到某种程度 大约 差不多 n.某地 某处
son	n.儿子 孩子(长者对后辈的称呼)
song	n.歌唱 歌曲 歌词 (鸟等)鸣声
soon	adv.不久 很快 早 快
sophisticated	adj.老于世故的 高级的 诡辩的 精密的 老练的 尖端的
sore	adj.痛的 痛心的 恼火的 n.疮 痛处 adv.疼痛地
sorrow	n.悲痛 悲哀 悲伤 伤心事 vi.悲伤 惋惜 悔恨
sorry	adj.对不起的 抱歉的 难过的 遗憾的 int.对不起
sort	n.种类 类别 特征 方法 vt.分类 整理 使明确 vi.交往 协调
soul	n.灵魂 精神 人 心灵 精髓 鬼魂 人 黑人灵歌 adj.美国黑人文化的 黑人的

单词	释义
sound	adj. 健康的 健全的 完好的 可靠的 合理的 adv. 酣畅地 n.声音 吵闹 海峡 鱼鳔 探针 v. 听起来 发出声音 探测深度 探询 vi. 响 发声
soup	n.汤 羹 n.困境
sour	adj.酸的 酸腐的 刻薄的 脾气坏的 v.变酸 n.酸物
source	n.河的源头 根源 发源地 来源 原始资料
south	n.南 南方 adj.南方的 adv.在南方 向南方 自南方
southeast	n.东南 东南地区 adj.位于东南的 东南的 向东南的 来自东南的 adv.往东南 来自东南 在东南
southern	adj.南方的 南部的 来自南方的
southwest	n.西南 西南风 西南地区 adj.西南的 来自西南方的 adv.往西南 来自西南
Soviet	n.苏维埃 adj.苏维埃的 苏联的
sow	vt.播(种) 散布 vi.播种 散布 n.母猪, 大母熊, 铁水沟 铁锭
space	n.空间 场地 空地 空白 太空 间隔 v.留间隔 分隔
spacecraft	n.航天器 宇宙飞船
spaceship	n.航天飞船
spade	n.铲 铁锹 在扑克牌中指黑桃 v.铲 vt.(用铲子)铲
span	n.跨距 跨度 间距 一段时间 vt.横跨 贯穿 估量 动词spin的过去式形式 n.共轭动物
Spanish	adj.西班牙的 西班牙人的 西班牙语的 n.西班牙人 西班牙语
spare	vt.节约 抽出 饶恕 赦免 adj.多余的 闲置的 备用的 简陋的n.剩余 备用品
spark	n.火花 火星 朝气 情人 俗丽的年轻人 vi.闪烁 冒火花 热情回应 vt.激发 引起 追求
sparkle	vi.发火花 闪耀 冒火花 vt.使闪耀 n.闪耀 火花
sparrow	n.麻雀
speak	vi.说话 发言 vt.说 讲 演说
speaker	n.说话者 发言者 说某种语言者 扬声器
spear	n.矛(正负电子对撞机) 枪 vt用矛刺
special	adj.特殊的 特别的 专门的 n.特别的东西 特价 特刊 特色菜
specialist	n.专家
speciality	n.专业 特长 擅长 特产
specialize	vi.成为...专家 专攻 特殊化 vt.专门研究 专攻 使...特殊化
specially	adv.专门地 特别地
specific	adj.特有的 特殊的 明确的 具体的 有特效的 n.特效药 特性详情
specify	vi.指定 详细说明 阐述
specimen	n.样本 标本 样品
spectacle	n.光景 景象 眼镜 值得看的东西
speech	n.言语 演说 演讲 语言能力 方言
speed	n.快 速率 速度 迅速 vi.快行 加速 急行
spell	vt.拼写 缓慢地或吃力地读 轮班 休息 用符咒镇住(某人) vi.拼字 n.魅力 符咒 一段时间 轮班
spelling	n.拼字 拼法 拼写法
spend	vt.用钱 花费 浪费 度过
sphere	n.球 圆体 范围 领域 天体 vt.形成球体 包围 围绕
spider	n.蜘蛛

单词	释义
spill	vt.使溢出 洒 使...流出 泄漏 vi.溢出 n.溢出 流 n.木片 小杆
spin	vt.使旋转 疾驰 纺织 结网 眩晕 n.旋转 纺织 眩晕 疾驰
spirit	n.精神 气魄 情绪 心灵 幽灵 精灵 (复)spirits: 精力 情绪烈酒 vt.使精神振作 偷偷带走
spiritual	adj.精神的 心灵的 与上帝有关的 n.(尤指美国南部黑人的)圣歌
spit	vi.吐 吐唾沫 吐出 降小雨 vt.用炙叉叉住 n.唾液 口水 小雨烤肉叉 海峡 海角
splash	n.飞溅的水 污点 卖弄vt.溅湿 溅开 泼 飞溅
splendid	adj.壮丽的 显著的 极好的 辉煌的 壮观的 杰出的
split	vt.劈开 分离 分开 vi.被劈开 adj.分散的 n.劈开 裂片 裂口
spoil	vt.损坏 破坏 糟蹋 宠坏 溺爱 腐坏 n.战利品 奖品
sponge	n.海绵 海绵状的东西 vt.用海绵擦拭 吸收掉 抹掉
sponsor	n.发起者 保证人 赞助者 主办者 vt.发起 赞助 倡议
spontaneous	adj.自发的 自然产生的 本能的
spoon	n.匙 调羹 匙状物 vt.以匙舀起 vi.调情
sport	n.运动 体育 运动会 vi.炫耀 戏弄 嬉戏 adj.运动的 户外穿戴的
sportsman	n.运动员
spot	n. 点 斑点 污点 地点 场所 斑点 职位 聚光灯 插播节目 少量 adj. 当场的 现场买卖的 抽样的 插播的 v. 使沾上污点 认出 用灯光照射
spray	n.浪花 喷雾 水沫 喷雾器 vt.喷 喷雾 扫射 喷射
spread	vt.伸开 伸展 展开 传播 散布 铺开 涂撒 n.传播 伸展 铺开幅度 范围 盛宴 差额
spring	vi. 跳 跃 射出 涌入(出) 发芽 长高 vt. 弹起 使喷涌 越过弹出 释放 发生 跳 裂开 n. 春天 春季 跳跃 弹跳 泉 泉水 弹簧 投射
springtime	n.春季 春天 青春期 初期
sprinkle	n.洒 撒 散置 小雨
spur	n.刺激 刺激物 马刺 鞭策 支脉vt.刺激 鞭策 促进
spy	n.间谍 特务 侦探 侦察 vt.侦察 侦探 看到 找出 vi.看 侦察
square	n.正方形 广场 街区 平方 adj.正方形的 正直的 公正的 结实的 断然的 v.使...成方形 调整 一致 收买 adv.成直角 直接的正方形地
squeeze	vt. & vi.榨 挤 压榨 挤压 塞进 n.压榨 勒索 榨取
squirrel	n.松鼠 松鼠皮毛 vt.储存
stab	vt. & vi.刺 戳 刺伤 n.刺 戳 刺痛 尝试 突然的一阵
stability	n.稳定 稳定性 巩固 居于修道院
stable	adj.稳定的 不变的 安定的 可靠的 n.厩 马厩 马棚 牛棚 一批人 vt.使(马)入厩 vi.入厩
stack	n.堆 堆叠 垛 vt.堆积 堆放
stadium	n.露天大型运动场 竞技场
staff	n.工作人员 参谋 全体人员 同事 拐杖 杆 棒 五线谱 vt.配备员工
stage	n.舞台 驿站 戏剧 阶段 vt.上演 实行 进行
stain	vt. 玷污 弄脏 给...着色 n.污点 瑕疵 染料 着色剂
stair	n.楼梯

单词	释义
staircase	n.楼梯 楼梯间
stake	n.桩 赌金 赌注 利害关系 奖品 v.下注 用桩支撑
stale	n.陈腐的 走了气的 (动物的)尿 adj.不新鲜的 陈腐的 失效的 vt.使腐坏vi.变得不新鲜 腐坏 (动物)撒尿
stamp	n.戳子 邮票 标志 图章 印 跺脚 v.跺脚 盖章
stand	vi.站 坐落 位于 停滞 忍受 n.架 台 站立 停顿 楼台 货摊
standard	n.标准 规格 adj.标准的 规范的 普通的
standpoint	n.立场 观点
star	n.星 恒星 明星 v.以星状物装饰 变成演员
stare	vi.盯 凝视 vt.显眼 (毛发)竖立 n.凝视
start	vi.跳起 出发 开始 起身 vt.开始 使震惊 n.起点 震动 领先优势 起推动作用的外力
startle	vt.使大吃一惊 使...惊愕 n.吃惊 惊愕
starve	vi.饿死 挨饿 受饿 vt.使饿死 使挨饿
state	n.状态 国家 州 情形 adj.国家的 州的 正式的 vt.说 说明阐明 陈述 声明 规定
statement	n.陈述 声明
statesman	n.政治家 国务活动家
static	adj.静的 静态的 静力的 静止的 静电的 n.静电 静电干扰 (猛烈的)反对或抨击
station	n.站 台 所 局 车站 位置 地位 vt.安置 驻扎 配置
statistical	adj.统计的 统计学的
statue	n.塑像 雕像 铸像
status	n.地位 身分 情形 状况
stay	vi.停留 逗留 住 n.逗留 停留 支撑物 倚赖的人或事
steadily	adv.稳定地 不变地 稳固地 坚定地
steady	adj.稳固的 稳定的 坚定的 vt.使稳定 使稳固 (变得)稳固 adv.平稳地 稳固地 n.固定的事物
steal	vt.偷 窍取 n.偷窃 便宜货 (欺诈的)政治交易
steam	n.蒸汽 水蒸气 vi.蒸发 蒸 冒热气 vt.蒸
steamer	n.轮船 汽船 蒸笼 [动]沙海螂
steel	n.钢 钢铁 钢制品 vt.使...硬如钢 使坚强 使下定决心 adj.钢的
steep	adj.险峻的 陡峭的 (价格)过高的 n.陡坡 n.浸泡 浸泡液 v.浸泡 沉浸
steer	vt.&vi.驾驶 掌舵 引导 操纵n.(食用的)公牛暗示
stem	n.茎 (树)干 柄 船首 vi.起源 vt.抽去...的梗 给...装柄 逆...而行 n.血统 [语]词干v.堵住 阻止 [体]内转
step	n.(脚)步 步骤 步伐 踏级 vi.走 vt.踏 以步测量
stern	adj.严厉的 坚定的 坚决的 苛刻的 n.尾部 船尾
steward	n.乘务员 服务员 v.做乘务员 管理
stewardess	n.空中小姐 女乘务员 女管家
stick	n.棍 棒 枝 杆 手杖 vt.刺 粘贴 插于 刺入 竖起 vi.钉住 粘贴 坚持
sticky	adj.粘性的 胶粘的 闷热的 困难的 令人不满意的
stiff	adj. 硬的 僵直的 生硬的 拘谨的 不灵活的 adv. 僵硬地 极其 n. 死尸 过于拘谨的人 流浪汉 吝啬鬼 醉鬼vt. 诈骗 失信不给小费

单词	释义
stiffen	vt.使硬 使僵硬 变为浓粘
still	adj. 静止的 不动的 静寂的 n. 寂静 沉默 定格照 酒厂 adv.仍然 更 静止地 conj. 然而 但是 vi. 变沉默 vt. 使冷静 抓住 使停止 使放松
stimulate	vt.刺激 激励 激发 鼓舞vi.起刺激作用
sting	vt.刺 刺痛 使苦恼 欺诈 vi.刺 叮 刺痛 n.刺痛刺 讽刺
stir	vt.动 拨动 激动 惹起 搅和 vi.挪动 活动 离开 搅拌 激动 n.感动(激动 愤怒或震动), 搅拌 骚乱
stitch	n.一针 针脚 疼痛 碎布条 vt.缝 缝合
stock	n. 原料 库存品 存货 股本 股份 储备 树干 血统 家畜 adj.存货的 平凡的 惯用的 股票的 畜牧的 vt. 进货 采购 储存 供给 vi. 出新芽 进货
stocking	n.长(统)袜
stomach	n.胃 胃口 肚子 食欲 vt.忍受 容忍
stone	n. 石 石头 石块 石料 (水果的)硬核 宝石 英石(重量单位 合14磅) vt. 向...扔石头 去掉(水果的)核 adj. 石的 石制的 adv. (用于复合词) 全然地
stony	adj.多石的 石头的 石质的 冷酷的 铁石心肠的 <古>石造的
stool	n.凳子 搁脚凳 便桶 根株 vi.引诱
stoop	vi.俯身 弯下 弯下上身 屈服 n.弯腰 佝偻 屈服
stop	vt.塞住 阻止 停止 停留 n.停止 车站 逗留
storage	n.贮藏 贮藏量 存储 保管 保管费 仓库 [计]存储器
store	n.贮藏 贮存品 商店 仓库 vt.储存 贮藏 供给 保存 (在计算机里)存贮 记忆 adj.储备的
storey	n.(层)楼 =story(美)
storm	n.风暴 暴(风)雨 v.猛攻 捣毁 起风暴 暴怒
stormy	adj.有暴风雨的 激烈的 粗暴的
story	n.故事 小说 传说 叙述 新闻报道 楼层(=storey) vt.以历史事件为图案装饰
stove	n.炉子 火炉 电炉 火炉窑 烘房【主英】温室
straight	adj. 直的 正直的 准的 坦率的 连续的 异性恋的 adv. 直 直接 笔直地 平正了 坦率的 连续不断地 n. 直的东西 传统的人
strain	vt.拉紧 劳累 过份使用 vi.尽力 n.紧张 拉紧 血统
strange	adj.陌生的 奇怪的 adv.奇怪地
stranger	n.陌生人 新来者 外地人 新手
strap	n.带子 皮带 vt.(用带)捆扎 (用带)打
strategy	n.战略 策略
straw	n.稻草 麦杆 吸管 adj.用稻草做的 用来作稻草的 麦杆色的无价值的 象稻草人的 非正式民意测验所发现的
strawberry	n.草莓
stream	n.河 (人 车 气)流 水流 组 vi. & vt.流 流出 飘动 接踵而来
street	n.街 街道 行车道 adj.街道的
strength	n.力 力量 力气 长处 强度
strengthen	vt.加强 变坚固 巩固
stress	n.压力 紧张 重音 负载 vt.着重 强调 vi.强调 着重
stretch	vt.伸展 张开 vi.伸 延伸 n.伸展 张开 adj.可伸缩的
strict	adj.严格的 严谨的 精确的 完全的

单词	释义
strictly	adv.严格地 严谨地
strike	vt. & vi.打 击 撞 罢工 划燃 n.罢工 打击 殴打
string	n.线 细绳 一串 字串 vt.串起 成串 收紧 悬挂 系 扎 vi.给...装弦 adj.线的
strip	vt.剥夺 剥去 夺去 脱衣 n.条带 长条 条状 脱衣舞
stripe	n.条纹 条子 条纹布 军士军阶 种类 鞭打 抽打 vt.使...带有条纹
stroke	n.打 击 鸣声 中风 笔画 连续的动作 心跳 抚 摩 捋 vt.奉承轻抚 摩 捋 vi.击打 心跳...
strong	adj.强壮的 强烈的 坚强的 浓的 擅长的
strongly	adv.强壮地 强烈地 强有力地 坚固地 坚强地 激烈地
structural	adj.结构的 构造的 建筑的 建筑用的
structure	n.结构 构造 建筑物 vt.建造 构造
struggle	n. & vi.斗争 挣扎 竞争 奋斗
student	n.学生 研究生 学者
study	n.学习 研究 学科 沉思 书房 vt.学 读书 计划 研究 记忆 调查 vi.学习 研究 沉思
stuff	n.材料 原料 东西 素质 本质 废物 vt.装 填 塞 填满 塞满
stumble	vi.绊倒 犯错 失策 踌躇 无意中发现 vt.绊倒 困惑 n.绊倒失策
stupid	adj.愚蠢的 感觉迟钝的 笨拙的 n.傻瓜
style	n.风格 文体 式样 时尚 类型 vt.称呼 设计
subject	n. 题目 学科 [语]主语 主题 话题 题材 主观 (君主国)国民实验对象 adj. 服从的 易患的vt. 使隶属 使服从 使遭遇
submarine	adj.水下的 海底的 n.潜水艇 vt.用潜艇袭击 vi.滑入...底下
submerge	vt.使浸没 潜入水中 覆盖 vi.潜入水中 浸没
submit	vt.使服从 屈服 呈送 递交 主张 vi.服从 屈从 忍受
subsequent	adj.随后的 后来的
substance	n.物质 实质 本旨 内容 重要性 财产
substantial	adj.物质的 坚固的 实质的 可观的 大量的 n.重要部份 本质
substitute	n.代替人 代用品 vt.用...代替 代以 代替
subtract	vt.减 减去 去掉 扣掉 vi.减少
suburb	n.郊区 郊外 近郊
subway	n.地道 地下铁路
succeed	vt.继...之后vi.成功 成功 继承 接着发生
success	n.成功 成就 胜利 发财 成功者 成功的事物
successful	adj.成功的 结果良好的 圆满的
successfully	advS.成功地
succession	n.连续 继任 继位 继承 继承权
successive	adj.连续的 接连的 接二连三的
such	adj.这样的 如此的 pron.这样的人或事 adv.如此地
suck	vt.吸 吮 啜 吸收 吸入 vi.吸 吸收 奉承 <俚>烂 令人讨厌 n.吸吮 吸力
sudden	adj.突然的 意外的 快速的 出乎意料的 n.突发之事
suddenly	adv.突然地
suffer	vt.遭受 忍受 容许 允vi.受苦 患病 受损失
sufficient	adj.足够的 充分的
sufficiently	adv.足够地 充分地

单词	释义
sugar	n.糖 vt.使甜 使具有吸引力 vi.形成糖状 变成颗粒状 造枫糖浆
suggest	vt.建议 暗示 启发 要求
suggestion	n.建议 意见 暗示 迹象 联想
suit	n.起拆 诉讼 请求 套装 vt.适合 取悦 满足
suitable	adj.合适的 适宜的 adv.<古>合适地 恰当地
sulphur	n.硫(磺) 硫黄
sum	n.总数 金额 顶点 概略 一笔钱 vi.共计 总计 概括
summarize	vt.概括 概述 总结 摘要而言
summary	n.摘要 概要 一览 adj.概要的 简略的
summer	n.夏 夏季 adj.夏季的 v.度过夏天
sun	n.太阳 日 阳光 中心人物 像太阳般的东西 v.晒太阳
Sunday	n.星期日 礼拜日 adj.星期日的
sunlight	n.日光 阳光
sunny	adj.阳光充足的 睛朗的 明媚的 快活的
sunrise	n.日出(时分)
sunset	n.日落(时分) 衰落时期(尤指人的晚年)
sunshine	n.(直射)日光 阳光
super	adj.极好的 超级的 n.主管人 负责人 警务长 adv.特别 格外
superficial	adj.表面的 肤浅的
superior	adj.较高的 优越的 上层的 上好的 出众的 高傲的 n.上级 高手 上标
supermarket	n.超级市场
supper	n.晚饭 晚餐 晚餐会
supplement	n.补充物 补充 增刊 增补 vt.补充 增补
supply	n.补给 供给 供应 贮备 vt.补给 供给 提供 提供足够以满足
support	vt.支撑 支持 供养 帮助 n.支持 援助 供养
suppose	vt.猜想 假定 让 以为 认为 应该 获准(be suppose to) 让 (虚拟语气) vi.推测
supreme	adj.最高的 最大的 至上的 极度的
sure	adj.确信的 确实的 肯定的 adv.当然 确实地 无疑地
surely	adv.确实 稳当地 安全地
surface	n.地面 表面 外表 平面 adj.表面的 肤浅的 vt.在...上加表层 使...成平面 vi.浮到水面 披露出来 在表面工作
surgeon	n.外科医师 军医
surgery	n.外科 外科手术 诊所
surname	n.姓 vt.冠姓
surprise	vt.使惊奇 使诧异 奇袭 突然袭击 n.惊奇 诧异 惊讶 突然袭击
surprising	adj.惊人的 出人意外的 令人惊讶的 动词surprise的现在分词
surprisingly	adv.惊人地(意外地)
surrender	v.交出 让与 投降 屈服 n.投降 屈服 放弃
surround	vt.围 围绕 圈住 包围 环绕 n.环绕物
surroundings	n.周围的事物 环境 名词surrounding的复数形式
survey	vt.俯瞰 检查 调查 测量 勘定 纵览 环视 n.调查 纵览 视察测量
survive	vt.幸免于 比...活得长 艰难度过 vi.活下来 活着 继续存在

单词	释义
suspect	vt.怀疑 猜想 vi.疑心 猜想 n.嫌疑犯 adj.令人怀疑的 不可信的
suspend	vt.吊 推迟 悬挂 暂停 取消 vi.悬挂 中止 停止偿付债务
suspicion	n.怀疑 疑心 猜疑
sustain	vt.支撑 支持 供养 忍受 承受 经受 维持 认可
swallow	n.燕子 吞咽 一次吞咽的量 vt.吞下 咽下 忍受 不流露感情收回 vi.咽口水 忍气吞声 吞下 咽下
swamp	n.沼泽 沼泽地 湿地 v.淹没 陷于沼泽
swan	n.天鹅 vi.闲荡 游荡
swarm	n.一大群 蜂窝 vi.密集 云集 充满
sway	vt. & vi.摇摆 摇动 支配 影响 n.摇摆 动摇 支配
swear	vt.宣(誓) 发誓 vi.诅咒 n.宣誓 誓言
sweat	n. 汗 汗水 (凝结在物体表面的)水珠 焦急 繁重工作 vi. 出汗 渗出 焦躁 辛苦工作 vt. (使)出汗 使渗出 榨取 逼问 使焦虑
sweater	n.厚运动衫 毛线衫 毛衣 出汗者
sweep	vt. 扫 扫过 扫除 拂去 刮起 掠过 席卷 扫视 全胜 vi. 打扫席卷 昂首阔步地走 连绵 全胜n. 扫除 席卷 搜寻 挥动 范围风帆 (竞赛中)全胜 连绵一片 赌金
sweet	adj.甜的 愉快的 可爱的n.糖 甜食 adv.甜蜜地
swell	vi. 膨胀 隆起 增长 vt. (使)膨胀 (使)鼓起 (使)增长 n. 膨胀 肿胀 增大 衣着时髦的人 风头人物 adj. <口> 很棒的 一流的 时髦的
swift	adj.快的 反应快的 迅速的 n.雨燕 线轴 n.斯威夫特(人名) adv.快速地
swim	vi.游 游泳 眼花 n.游泳
swing	vi.摇摆 回转 旋转 动摇 n.摇摆 改变 冲力
Swiss	adj.瑞士的 n.瑞士人
switch	n.开关 转换 鞭子 vt.转换 改变 交换 鞭打 n.(女用)假发
sword	n.剑 刀
symbol	n.象征 符号 记号 标志
sympathetic	adj.同情的 和谐的 共鸣的 n.交感神经
sympathize	vi.同情 同感 共鸣
sympathy	n.同情 同情心 一致 同感 赞同 慰问
synthetic	adj.综合的 合成的 人造的 n.人工制品
system	n.系统 体系 制度
systematic(al)	adj.有系统的 有条理的 有计划的 分类的 体系的
table	n.桌子 台子 餐桌 表格 项目表 vt.将...放于桌上 提交讨论搁置 列入表中 adj.桌子的
tablet	n.碑 匾 片状物 药片
tag	n.附加语 附属物 名称 谚语 标签 vt.附以签条 尾随 添饰 指责 连接 vi.紧随 尾随
tail	n. 尾巴 尾部 后部 辫子 跟随者 (复)tails：燕尾服 (硬币的)反面vt. 跟踪 盯...的梢 为...装尾巴 vi. 尾随 附于其后逐渐减少 n. 限嗣继承 adj. 限嗣继承的
tailor	n.裁缝 vt.裁制衣服 剪裁 vi.做裁缝
take	vt.拿 抓 吃 拿走 取 修(课程) 花费 记录 认为 搭乘 n.拿取取得物
tale	n.故事 传说 叙述 谎话 总计

单词	释义
talent	n.天才 才能 人才 天资
talk	vi.讲话 说vt.谈论 商讨 n.谈话 会谈 讲话 讨论
tall	adj.高的 身材高的 难以置信的 难以办成的 夸大的 adv.夸大地
tame	adj.驯服的 顺从的 柔顺的 乏味的 vt.驯养 使...驯服 vi.变得驯服
tan	n.棕褐色 黝黑 adj.棕黄色的 棕褐色的 v.晒黑 鞣(革) 使晒成棕褐色
tank	n.坦克 大容器 槽 箱 罐 贮水池 vt.把...储于槽中
tap	n.龙头 塞子 窃听 轻拍 轻敲 鞋掌 vi.轻拍 轻击 补鞋掌 选择 vt.装龙头 窃听 利用 开发
tape	n.线带 磁带 录音带 磁带 胶布 v.(用带子)捆 录音 adj.录音的, 用来录音的
target	n.靶 标的 目标 对象 vt.把...作为目标 瞄准
task	n.任务 工作 作业 vt.交给某人(任务)
taste	vt.尝 尝到 品尝 尝试 有...味道的 n.味觉 味道 品味 尝试
tax	n.税 税款 负担 重负vt.课税 使...负重荷 斥责
taxi	n.出租汽车 v.用出租车运送 乘计程车 (飞机)滑行
tea	n.茶 茶叶 茶树 茶点
teach	vt.讲 教育 教 教书 教导 教训 vi.给予指导
teacher	n.教师 老师 先生
teaching	n.教学 教义 讲授 教导 adj.教学的 动词teach的现在分词
team	n.队 组 vt.协同工作 vi.结成一队 adj.团队的
tear	n.眼泪 泪珠 (撕破的)洞或裂缝 撕扯 vt.撕掉 撕开 撕裂 扯下 扰乱 vi.流泪 撕破
technical	adj.技术的 工艺的
technician	n.技术员 技师
technique	n.技术 技巧 技能
technology	n.工艺学 工艺 技术
tedious	adj.冗长乏味的 单调乏味的 沉闷的
teenager	n.青少年 13岁到19岁的年轻人
telegram	n.电报 vt.向...发电报
telegraph	n.电报机 电报 vt.打电报 显示
telephone	n.电话 vi.打电话
telescope	n.望远镜 v.缩短 压缩
television	n.电视 电视机 电视节目 电视行业
tell	vt.讲述 吩咐 辨别 告诉 vi.讲述 告诉 产生效果 告发
temper	n.调剂 韧度 回火度 心情 情绪 脾气 性情 vt.使缓和 调和 vt.使回火
temperature	n.温度 体温 气温 发烧
temple	n.圣堂 神殿 庙宇 寺院
temporary	adj.暂时的 n.临时工
tempt	vt.引诱 诱惑 吸引 勾引
temptation	n.诱惑 引诱
ten	num.十 十个
tenant	n.承担人 房客 佃户 占用者 vt.租借 租赁
tend	vt.照管 照料 护理 趋向 易于 走向 倾向
tendency	n.趋向 趋势 倾向

单词	释义
tender	adj. 嫩的 脆弱的 温柔的 亲切的 敏感的 未成熟的 痛的 (船)易倾斜的 v. 提供 投标 (使)变柔软 n. 提出 投标 支付偿还 照管人 补给船 煤水车
tennis	n.网球 网球运动
tense	n.(动词)时态 时 adj.拉紧的 绷紧的 紧张的 v.使紧绷 拉紧
tent	n.帐篷 v.住帐篷 宿营
tenth	num.第十 十分之一 n.第十 十分之一
term	n.期 学期 条件 词 术语 名词 期限 条款 vt.把...称为
terminal	adj.末端的 终点的 晚期的 (每)学期的 n.末端 终端机 终点终点站
terrible	adj.可怕的 极度的 糟糕的
terrific	adj.可怕的 极大的 极好的 非常的
territory	n.领土 版图 领域 范围
terror	n.恐怖 惊骇 <口>令人惧怕或讨厌的人或事物
test	n.测试 试验 考验 vt.测试 试验 接受测验 adj.测试的
text	n.原文 本文 课文 正文 v.发短信
textbook	n.课本 教科书
textile	n.纺织品 adj.纺织的
than	conj.(比较级)比 prep.比(用于两者之间的比较)
thank	vt.谢谢 感谢 n.感谢 谢意
that	adj.如此的 上文提到的 特定的 pron.那 adv.那样 非常 conj.引导从句
the	art.(定冠词)这 那 这些 那些 adv.(用于比较级前)更加 (用于形容词、副词比较级前)越...越...
theatre	n.戏院 戏剧 教室 =theater
their	pron.他(她、它)们的 adj.他们的 她们的 它们的
theirs	pron.他(她)们的东西
them	pron.(宾格)他(她、它)们
themselves	pron.他(她、它)们自己
then	adv.当时 然后 那么 而且 adj.当时的 n.当时
theoretical	adj.理论(上)的
theory	n.理论 原理 学说 意见
there	adv.在那里 在那点上 从那里 到那里 n.那一点 那个地方 pron.表示存在(与be连用)
thereby	adv.因此 从而 由此
therefore	adv.因此 所以
thermometer	n.温度计 寒暑表
these	adj. & pron.这些
they	pron.(主格)他(她)们
thick	adj.厚的 粗的 密的 浓 adv.厚 浓 密 n.密集处 最厚处
thickness	n.厚(度) 密(度) 一层 含混不清
thief	n.窃贼 偷窃犯 小偷
thin	adj.薄的 淡的 稀的 vi.变薄 变瘦 adv.薄薄地 稀疏地
thing	n.物 用品 事 情况 (复)things：所有物 财产 用品
think	vt.想 想要 认为 考虑 记起 n.想
third	num.第三 三分之一 adj.第三的 三分之一的
thirdly	adv.第三

单词	释义
thirst	n.渴 口渴 渴望 vi.(for)渴望 渴求
thirsty	adj.口渴的 渴望的
thirteen	num.十三 十三个
thirty	num.三十 三十个
this	adj.这 今 pron.这 这个 adv.这么 这样
thorn	n.刺 棘 荆棘 蒺藜
thorough	adj.彻底的 详尽的 完全的 精心的
those	pron.那些 adj.那些
though	conj.虽然 尽管 adv.可是 然而 不过
thought	n.思想 思维 想法 观念 意向 动词think的过去式和过去分词
thoughtful	adj.沉思的 体贴的
thousand	num.千 千个 n.无数 千 (复)thousands：成千上万 许许多多
thread	n.线 细丝 螺纹 头绪 线索 思路 vt.穿线于 穿过 遍布 vi.小心地通过 蜿蜒前进 滴下成丝状
threat	n.威胁 恐吓 凶兆 vt.威胁 恐吓
threaten	vt. & vi.威胁 恐吓
three	num.三 三个 pron. & adj.三(个 只...)
thrill	n.一阵激动 震颤 激动 v.(使)震颤 兴奋 激动
thrive	vi.兴旺 繁荣 旺盛 茁壮成长
throat	n.咽喉 喉咙 嗓音 vt.低语 压着嗓子说(唱)
throne	n.宝座 御座 王位 君主
throng	n.群 人群 群众 一大群 大量 vt.挤满 群集 挤压 adj.拥挤的忙的
through	prep.经过 穿过 凭借 adv.从头到尾 穿越 完全 adj.完成的完结的 贯穿的 直通的
throughout	prep.遍及 贯穿 adv.到处 自始至终
throw	vt.投 掷 抛 扔 n.投掷 抛
thrust	vt.插 刺 推挤 n.插 讽刺 推力 刺 力推
thumb	n.(大)拇指 v.翻阅 示意要求搭车
thunder	n.雷 雷声 vi.打雷 轰隆地响 vt.吼出 大声喊出
Thursday	n.星期四
thus	adv.如此 这样 因而 因此 从而
tick	n.滴答声 记号 勾号 虱类 扁虱 被套 枕套 褥套 条纹厚棉布<英>赊账 赊欠vt.给...标记号vi.滴答作响 运作
ticket	n.票 券 标签 罚款单 纲领 传票 vt.加标签于 售票
tide	n.潮 潮汐 潮流 潮水 趋势
tidy	adj.整洁的 整齐的 <口>相当大的 vt.使整洁 整理 vi.整理收拾 n.(沙发,椅子等的)背罩 装杂物的容器
tie	n.领带 结 束缚 不分胜负 联系 vt.系 约束 捆绑 vi.打结 连结
tiger	n.老虎 凶残之人
